time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-04,12.2,,19.0,0.0,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,,,,,,,,,,
2020-01-08,,,,,,,,,,
2020-01-09,,,,,,,,,,
2020-01-10,,,,,,,,,,
2020-01-11,,,,,,,,,,
2020-01-12,14.9,9.5,,0.0,,,,,,
2020-01-13,11.5,,16.5,3.0,,,,,,
2020-01-14,10.7,5.7,,39.9,,,,,,
2020-01-15,10.8,6.7,,0.0,,,,,,
2020-01-16,,,,,,,,,,
2020-01-17,,,,,,,,,,
2020-01-18,,,,,,,,,,
2020-01-19,,,,,,,,,,
2020-01-20,,,,,,,,,,
2020-01-21,11.0,,,0.5,,,,,,
2020-01-22,11.6,6.2,,0.0,,,,,,
2020-01-23,,,,,,,,,,
2020-01-24,,,,,,,,,,
2020-01-25,,,,,,,,,,
2020-01-26,13.1,7.7,21.3,0.0,,,,,,
2020-01-27,,,,,,,,,,
2020-01-28,11.8,,13.1,2.0,,,,,,
2020-01-29,11.4,,,22.1,,,,,,
2020-01-30,11.2,5.9,,0.0,,,,,,
2020-01-31,,,,,,,,,,
2020-02-01,,,,,,,,,,
2020-02-02,,,,,,,,,,
2020-02-03,,,,,,,,,,
2020-02-04,,,,,,,,,,
2020-02-05,,,,,,,,,,
2020-02-06,,,,,,,,,,
2020-02-07,,,,,,,,,,
2020-02-08,,,,,,,,,,
2020-02-09,,,,,,,,,,
2020-02-10,,,,,,,,,,
2020-02-11,,,,,,,,,,
2020-02-12,,,,,,,,,,
2020-02-13,18.5,,,2.0,,,,,,
2020-02-14,15.9,10.2,,0.0,,,,,,
2020-02-15,,,,,,,,,,
2020-02-16,,,,,,,,,,
2020-02-17,,,,,,,,,,
2020-02-18,,,,,,,,,,
2020-02-19,,,,,,,,,,
2020-02-20,17.8,,,0.5,,,,,,
2020-02-21,16.5,11.7,,13.0,,,,,,
2020-02-22,16.8,10.9,,0.0,,,,,,
2020-02-23,,,,,,,,,,
2020-02-24,,,,,,,,,,
2020-02-25,,,,,,,,,,
2020-02-26,,,,,,,,,,
2020-02-27,,,,,,,,,,
2020-02-28,,,,,,,,,,
2020-02-29,17.3,13.1,,20.1,,,,,,
2020-03-01,18.3,12.1,,4.1,,,,,,
2020-03-02,18.1,12.2,,0.0,,,,,,
2020-03-03,,,,,,,,,,
2020-03-04,,,,,,,,,,
2020-03-05,15.2,,,21.1,,,,,,
2020-03-06,13.3,11.8,,15.0,,,,,,
2020-03-07,13.5,11.0,,18.0,,,,,,
2020-03-08,17.6,11.9,,2.0,,,,,,
2020-03-09,16.1,9.4,,0.0,,,,,,
2020-03-10,,,,,,,,,,
2020-03-11,,,,,,,,,,
2020-03-12,15.6,,,25.9,,,,,,
2020-03-13,16.5,10.7,24.2,14.0,,,,,,
2020-03-14,14.8,,,9.9,,,,,,
2020-03-15,17.0,9.9,,11.9,,,,,,
2020-03-16,18.0,11.0,24.8,0.0,,,,,,
2020-03-17,,,,,,,,,,
2020-03-18,,,,,,,,,,
2020-03-19,,,,,,,,,,
2020-03-20,,,,,,,,,,
2020-03-21,,,,,,,,,,
2020-03-22,20.5,13.4,,0.5,,,,,,
2020-03-23,21.8,15.9,,0.0,,,,,,
2020-03-24,17.9,,,1.0,,,,,,
2020-03-25,19.0,13.8,,7.1,,,,,,
2020-03-26,21.5,14.4,,0.0,,,,,,
2020-03-27,17.0,,,5.1,,,,,,
2020-03-28,19.1,15.0,,66.0,,,,,,
2020-03-29,19.8,12.8,,0.0,,,,,,
2020-03-30,,,,,,,,,,
2020-03-31,20.5,,,0.0,,,,,,
2020-04-01,21.1,13.7,,1.0,,,,,,
2020-04-02,20.6,,,0.0,,,,,,
2020-04-03,,,,,,,,,,
2020-04-04,,,,,,,,,,
2020-04-05,,,,,,,,,,
2020-04-06,22.6,15.0,,34.0,,,,,,
2020-04-07,20.3,,25.7,0.0,,,,,,
2020-04-08,22.4,14.5,,0.3,,,,,,
2020-04-09,22.8,16.0,,0.0,,,,,,
2020-04-10,,,,,,,,,,
2020-04-11,,,,,,,,,,
2020-04-12,,,,,,,,,,
2020-04-13,,,,,,,,,,
2020-04-14,,,,,,,,,,
2020-04-15,,,,,,,,,,
2020-04-16,,,,,,,,,,
2020-04-17,,,,,,,,,,
2020-04-18,22.9,16.2,29.4,16.0,,,,,,
2020-04-19,26.1,18.2,,0.0,,,,,,
2020-04-20,,,,,,,,,,
2020-04-21,,,,,,,,,,
2020-04-22,,,,,,,,,,
2020-04-23,,,,,,,,,,
2020-04-24,,,,,,,,,,
2020-04-25,,,,,,,,,,
2020-04-26,24.8,20.0,,2.0,,,,,,
2020-04-27,23.5,,,0.5,,,,,,
2020-04-28,25.8,19.4,,0.5,,,,,,
2020-04-29,27.6,20.2,,0.0,,,,,,
2020-04-30,,,,,,,,,,
2020-05-01,,,,,,,,,,
2020-05-02,,,,,,,,,,
2020-05-03,,,,,,,,,,
2020-05-04,,,,,,,,,,
2020-05-05,,,,,,,,,,
2020-05-06,,,,,,,,,,
2020-05-07,,,,,,,,,,
2020-05-08,,,,,,,,,,
2020-05-09,,,,,,,,,,
2020-05-10,26.9,19.2,,16.0,,,,,,
2020-05-11,27.9,21.8,,0.0,,,,,,
